segment_id,street_id,street_name,street_type,velocity,max_velocity,s_node_id,s_long,s_lat,e_node_id,e_long,e_lat,slow_traffic
42,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,366384239,106.7640373,10.8794727,3792257838,106.7635958,10.8793121,0
43,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,366384239,106.7640373,10.8794727,5755039428,106.7642323,10.879546,0
44,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5755039428,106.7642323,10.879546,366384239,106.7640373,10.8794727,0
45,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5755039428,106.7642323,10.879546,5755038392,106.7645024,10.8796477,0
46,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5755038392,106.7645024,10.8796477,5755039428,106.7642323,10.879546,0
47,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5755038392,106.7645024,10.8796477,5753492074,106.7650875,10.8798678,0
48,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5753492074,106.7650875,10.8798678,5755038392,106.7645024,10.8796477,0
49,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5753492074,106.7650875,10.8798678,366458287,106.765186,10.8799049,0
50,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,366458287,106.765186,10.8799049,5753492074,106.7650875,10.8798678,0
51,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,366458287,106.765186,10.8799049,5753492033,106.7656383,10.880042,0
52,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5753492033,106.7656383,10.880042,366458287,106.765186,10.8799049,0
53,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5753492033,106.7656383,10.880042,5753492029,106.7657251,10.8800648,0
54,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5753492029,106.7657251,10.8800648,5753492033,106.7656383,10.880042,0
55,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5753492029,106.7657251,10.8800648,5753492079,106.7659615,10.880127,0
56,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5753492079,106.7659615,10.880127,5753492029,106.7657251,10.8800648,0
57,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5753492079,106.7659615,10.880127,5753492027,106.7660545,10.8801536,0
58,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5753492027,106.7660545,10.8801536,5753492079,106.7659615,10.880127,0
59,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5753492027,106.7660545,10.8801536,3117088701,106.7671092,10.8804556,0
60,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,3117088701,106.7671092,10.8804556,5753492027,106.7660545,10.8801536,0
61,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,3117088701,106.7671092,10.8804556,366412402,106.7671286,10.8804642,0
62,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,366412402,106.7671286,10.8804642,3117088701,106.7671092,10.8804556,0
63,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,366412402,106.7671286,10.8804642,2951390230,106.7679117,10.8806584,0
64,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,2951390230,106.7679117,10.8806584,366412402,106.7671286,10.8804642,0
65,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,2951390230,106.7679117,10.8806584,366403668,106.7684119,10.880817,0
66,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,366403668,106.7684119,10.880817,2951390230,106.7679117,10.8806584,0
67,32575862,Đường số 5,secondary,32.5,47.519646365422396,366403668,106.7684119,10.880817,5755066033,106.7684611,10.8807714,0
68,32575862,Đường số 5,secondary,20.38888888888889,47.519646365422396,5755066033,106.7684611,10.8807714,366403668,106.7684119,10.880817,0
69,32575864,Châu Văn Liêm,secondary,20.376470588235293,40.0,1996655233,106.659204,10.7508811,5816921541,106.6590317,10.7519402,0
70,32575864,Châu Văn Liêm,secondary,18.0,40.0,5816921541,106.6590317,10.7519402,4614188871,106.6590192,10.7520169,1
157,32575935,Tân Phú,primary_link,37.0,56.666666666666664,1894608446,106.722332,10.7336454,3202462314,106.7224329,10.7336245,0
158,32575935,Tân Phú,primary_link,37.0,56.666666666666664,3202462314,106.7224329,10.7336245,2351843539,106.7232133,10.7336176,0
159,32575935,Tân Phú,primary_link,37.0,56.666666666666664,2351843539,106.7232133,10.7336176,3202462315,106.7234805,10.733621,0
160,32575935,Tân Phú,primary_link,37.0,56.666666666666664,3202462315,106.7234805,10.733621,3202462316,106.7236203,10.7336193,0
161,32575935,Tân Phú,primary_link,37.0,56.666666666666664,3202462316,106.7236203,10.7336193,3202462317,106.7238132,10.7336036,0
162,32575935,Tân Phú,primary_link,37.0,56.666666666666664,3202462317,106.7238132,10.7336036,3202462318,106.7240202,10.733588,0
163,32575935,Tân Phú,primary_link,37.0,56.666666666666664,3202462318,106.7240202,10.733588,3202462319,106.7241476,10.7335706,0
164,32575935,Tân Phú,primary_link,37.0,56.666666666666664,3202462319,106.7241476,10.7335706,2344021182,106.7242491,10.7335454,0
165,32575935,Tân Phú,primary_link,37.0,56.666666666666664,2344021182,106.7242491,10.7335454,2344021186,106.7243993,10.7334927,0
166,32575935,Tân Phú,primary_link,37.0,56.666666666666664,2344021186,106.7243993,10.7334927,2345121528,106.724481,10.7334657,0
167,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,5769406271,106.6512187,10.7862298,4638968132,106.6512666,10.786213,0
168,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,4638968132,106.6512666,10.786213,5769406271,106.6512187,10.7862298,0
169,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,4638968132,106.6512666,10.786213,4638968130,106.6514229,10.7862074,0
170,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,4638968130,106.6514229,10.7862074,4638968132,106.6512666,10.786213,0
171,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,4638968130,106.6514229,10.7862074,2299416638,106.651613,10.786231,0
172,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,2299416638,106.651613,10.786231,4638968130,106.6514229,10.7862074,0
173,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,2299416638,106.651613,10.786231,4639027499,106.6516988,10.7862517,0
174,32575943,Lê Minh Xuân,tertiary,47.91718170580964,47.91718170580964,4639027499,106.6516988,10.7862517,2299416638,106.651613,10.786231,0
